date,price
29.01.18,9457.269531
30.01.18,9433.339844
31.01.18,9335.400391
01.02.18,9290.919922
02.02.18,9220.69043
05.02.18,9100.389648
06.02.18,8836.709961
07.02.18,8975.009766
08.02.18,8763.110352
09.02.18,8682
12.02.18,8822.179688
13.02.18,8818.280273
14.02.18,8899.099609
15.02.18,8917.799805
16.02.18,8986.719727
19.02.18,8908.650391
20.02.18,8981.389648
21.02.18,8988.990234
22.02.18,8967.429688
23.02.18,8948.19043
26.02.18,9026.110352
27.02.18,8992.519531
28.02.18,8906.379883
01.03.18,8792.379883
02.03.18,8628.509766
05.03.18,8808.379883
06.03.18,8765.879883
07.03.18,8784.839844
08.03.18,8896.419922
09.03.18,8931.849609
12.03.18,8970.740234
13.03.18,8880.919922
14.03.18,8869.330078
15.03.18,8878.980469
16.03.18,8882.530273
19.03.18,8811.330078
20.03.18,8847.290039
21.03.18,8783.700195
22.03.18,8637.870117
23.03.18,8569.080078
26.03.18,8509.290039
27.03.18,8638.419922
28.03.18,8756.120117
29.03.18,8740.969727
03.04.18,8630.929688
04.04.18,8553.69043
05.04.18,8742.599609
06.04.18,8671.040039
09.04.18,8687.080078
10.04.18,8755.570313
11.04.18,8708.44043
12.04.18,8774.759766
13.04.18,8776.169922
16.04.18,8726.540039
17.04.18,8820.040039
18.04.18,8831.879883
19.04.18,8833.179688
20.04.18,8807.799805
23.04.18,8806.629883
24.04.18,8796.910156
25.04.18,8740.959961
26.04.18,8835.030273
27.04.18,8843.019531
30.04.18,8886.259766
02.05.18,8896.280273
03.05.18,8842.290039
04.05.18,8903.830078
07.05.18,8978.650391
08.05.18,8944.900391
09.05.18,8984.099609
11.05.18,8993.509766
14.05.18,9000.889648
15.05.18,8994.219727
16.05.18,8973.879883
17.05.18,8988.330078
18.05.18,8940.459961
22.05.18,8936.070313
23.05.18,8794.94043
24.05.18,8770.94043
25.05.18,8759.080078
28.05.18,8775.450195
29.05.18,8637.200195
30.05.18,8578.679688
31.05.18,8456.950195
01.06.18,8618.540039
04.06.18,8634.419922
05.06.18,8538.30957
06.06.18,8544.990234
07.06.18,8548.330078
08.06.18,8512.05957
11.06.18,8623.540039
12.06.18,8640.799805
13.06.18,8634.610352
14.06.18,8690.830078
15.06.18,8642.599609
18.06.18,8519.570313
19.06.18,8463.410156
20.06.18,8557.509766
21.06.18,8459.929688
22.06.18,8616.55957
